M,k,N,seed,rho_mc,standard_error,P_M,gap_observed,gap_predicted,ratio
100,50,2000,102076,0.14015122879430517,0.0001408209527528846,0.12031729047493521,0.019833938319369956,0.018551676429509906,1.0691183837068423
100,200,2000,102226,0.12278262060736865,4.751699377221617e-05,0.12031729047493521,0.002465330132433441,0.0024819227576571893,0.9933146085338244
300,100,2000,302126,0.11742727447875345,7.593245547721995e-05,0.09745854932366156,0.01996872515509189,0.018264432189922738,1.0933121242120782
300,500,2000,302526,0.10014700720466532,2.4303148503323067e-05,0.09745854932366156,0.0026884578810037613,0.0026419810063347624,1.0175916763056054
1000,500,2000,1002526,0.09017307730712347,2.3218391683511397e-05,0.08096526350684251,0.009207813800280962,0.008758264874347325,1.051328537373921
1000,2000,2000,1004026,0.08219696071261232,8.33000564074755e-06,0.08096526350684251,0.0012316972057698078,0.001220042788183475,1.0095524662734863
1000,5000,2000,1007026,0.08102225890600673,1.8184524968967096e-06,0.08096526350684251,5.6995399164219696e-05,5.521393420554118e-05,1.0322647712812272
3000,5000,2000,3007026,0.07130770867174423,4.6344035147851825e-06,0.06996576068637032,0.0013419479853739036,0.0013345892681320725,1.005513844159807
