M,k,R_over_Sigma,qstarstar_over_qstar_power_k
20,20,0.04520250320220369,0.31880735010388184
20,40,0.012160746747892363,0.10163812648025909
20,80,0.001153820482984523,0.010330308754417143
20,160,1.1844019049821039e-05,0.00010671527896158747
30,20,0.0630425208531589,0.4831863492825823
30,40,0.02273158684122793,0.23346904813302963
30,80,0.004301311951541363,0.054507796436142904
30,160,0.00021961475141393935,0.002971099872323993
